Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-21,10.190,4.422,1.100,6.907,8.800,10.300,11.500,3.100,4.200,5.800,6.275,6.875,7.629,0.000,1.100,3.900,1.598,56.863,3.922,0.000,0.000,4.907,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T19:58:54+00:00
2026-07-22,10.231,2.598,0.000,5.879,9.600,10.200,11.100,1.200,2.700,3.800,5.162,5.796,6.704,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,3.879,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T19:58:54+00:00
2026-07-23,10.659,0.973,0.000,5.413,9.500,10.600,12.000,-0.400,0.900,2.600,4.058,5.533,6.671,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.413,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T19:58:54+00:00
2026-07-24,10.859,5.749,4.500,8.093,9.100,10.800,13.000,4.000,5.900,7.200,7.217,8.125,8.912,1.800,4.500,8.100,4.635,96.078,39.216,0.000,0.000,6.093,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T19:58:54+00:00
2026-07-25,13.335,5.400,0.200,8.781,11.200,13.400,15.100,3.700,5.600,7.100,7.554,8.721,10.083,0.000,0.200,1.200,0.363,13.725,0.000,0.000,0.000,6.781,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T19:58:54+00:00
2026-07-26,16.141,7.104,0.000,10.716,14.500,16.200,17.800,5.900,7.200,8.200,9.287,10.804,11.908,0.000,0.000,0.800,0.398,7.843,1.961,0.000,0.000,8.716,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T19:58:54+00:00
2026-07-27,17.675,7.876,0.000,11.918,14.500,18.200,19.700,6.600,7.900,9.400,10.704,11.996,13.208,0.000,0.000,2.400,0.645,15.686,3.922,0.000,0.000,9.918,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T19:58:54+00:00
