Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_Media_Ens,TMIN_Media_Ens,TMEDIA_Media_Ens,Prec_Media_Ens,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-08-13,9.500,2.700,0.000,6.188,9.531,2.684,6.228,0.000,9.000,9.500,10.100,2.200,2.700,3.100,5.900,6.188,6.717,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.188,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-58.250,126.000,2026-08-13T11:14:43+00:00
2026-08-14,13.800,4.700,0.000,9.021,13.767,4.724,8.986,0.051,13.300,13.800,14.300,3.900,4.700,5.600,8.379,9.021,9.679,0.000,0.000,0.200,0.000,0.000,0.000,0.000,7.021,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-58.250,126.000,2026-08-13T11:14:43+00:00
2026-08-15,13.100,8.100,3.100,10.588,13.184,8.143,10.554,2.945,12.000,13.100,14.600,6.900,8.100,9.300,9.996,10.588,11.112,1.200,3.100,4.700,92.157,5.882,0.000,0.000,8.588,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-58.250,126.000,2026-08-13T11:14:43+00:00
2026-08-16,15.700,8.900,1.900,11.896,15.643,8.975,12.006,2.243,14.000,15.700,17.400,7.500,8.900,10.600,11.371,11.896,12.696,0.600,1.900,4.000,72.549,3.922,0.000,0.000,9.896,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-58.250,126.000,2026-08-13T11:14:43+00:00
2026-08-17,11.800,6.700,0.000,9.021,11.843,6.667,9.042,0.043,10.000,11.800,13.700,5.100,6.700,8.100,8.075,9.021,9.900,0.000,0.000,0.100,0.000,0.000,0.000,0.000,7.021,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-58.250,126.000,2026-08-13T11:14:43+00:00
2026-08-18,11.300,5.700,0.000,8.175,11.433,5.580,8.235,4.669,9.200,11.300,13.600,3.000,5.700,7.600,7.258,8.175,9.392,0.000,0.000,16.500,35.294,27.451,15.686,5.882,6.175,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-58.250,126.000,2026-08-13T11:14:43+00:00
2026-08-19,12.000,6.100,3.000,8.708,12.602,5.741,8.716,7.490,9.700,12.000,16.400,2.700,6.100,9.000,6.642,8.708,10.746,0.000,3.000,19.800,54.902,43.137,31.373,5.882,6.708,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-58.250,126.000,2026-08-13T11:14:43+00:00
