Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-24,14.035,6.749,4.500,9.333,12.800,14.300,15.000,6.100,6.900,7.300,8.992,9.367,9.658,2.400,4.500,6.600,4.561,100.000,35.294,0.000,0.000,7.333,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T19:53:07+00:00
2026-07-25,14.235,5.743,0.300,9.728,13.000,14.400,15.300,5.000,5.800,6.300,9.083,9.683,10.383,0.000,0.300,0.900,0.388,9.804,0.000,0.000,0.000,7.728,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T19:53:07+00:00
2026-07-26,14.741,7.180,0.000,10.978,12.800,14.500,16.800,6.100,6.800,9.200,10.029,10.875,12.025,0.000,0.000,0.900,0.269,7.843,0.000,0.000,0.000,8.978,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T19:53:07+00:00
2026-07-27,13.835,6.784,2.400,10.083,12.100,13.600,15.900,5.000,6.400,9.100,8.642,9.912,11.875,0.600,2.400,9.900,3.608,76.471,23.529,9.804,0.000,8.083,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T19:53:07+00:00
2026-07-28,15.186,7.676,0.200,10.734,12.200,14.600,17.800,6.500,7.700,8.700,9.483,10.779,12.317,0.000,0.200,1.000,0.402,11.765,0.000,0.000,0.000,8.734,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T19:53:07+00:00
2026-07-29,11.688,4.580,0.300,7.998,9.500,11.700,14.200,3.000,4.300,6.400,6.712,8.133,9.317,0.000,0.300,5.000,1.404,29.412,11.765,0.000,0.000,5.998,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T19:53:07+00:00
2026-07-30,10.416,2.108,0.000,5.775,9.200,10.400,11.700,0.600,2.100,3.400,5.062,5.546,6.625,0.000,0.000,0.400,0.108,1.961,0.000,0.000,0.000,3.775,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T19:53:07+00:00
