Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-09,12.910,6.159,0.000,8.660,12.200,12.900,13.600,5.400,6.200,6.800,8.225,8.700,9.021,0.000,0.000,0.300,0.069,1.961,0.000,0.000,0.000,6.660,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-09T03:07:20+00:00
2026-07-10,10.514,5.447,3.100,7.613,9.500,10.500,11.600,4.100,5.500,6.900,6.763,7.700,8.208,0.600,3.100,6.200,3.524,88.235,27.451,1.961,0.000,5.613,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-09T03:07:20+00:00
2026-07-11,9.576,6.322,7.300,7.748,8.400,9.500,11.100,4.700,6.500,7.100,7.167,7.779,8.225,3.600,7.300,11.200,7.586,98.039,72.549,23.529,0.000,5.748,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-09T03:07:20+00:00
2026-07-12,10.706,3.745,0.000,7.048,9.700,10.800,11.600,1.900,3.600,6.100,5.796,7.133,8.013,0.000,0.000,0.300,0.108,3.922,0.000,0.000,0.000,5.048,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-09T03:07:20+00:00
2026-07-13,11.080,1.573,0.000,5.868,9.800,11.000,12.700,-0.800,1.500,3.800,4.150,5.983,7.650,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,3.868,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-09T03:07:20+00:00
2026-07-14,13.745,5.343,0.000,8.708,11.900,13.200,16.100,3.500,5.400,7.300,6.987,8.850,10.338,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,6.708,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-09T03:07:20+00:00
2026-07-15,15.014,5.494,0.000,9.362,12.900,15.100,17.300,4.000,5.600,7.000,7.875,9.208,10.925,0.000,0.000,2.400,0.529,15.686,0.000,0.000,0.000,7.362,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-09T03:07:20+00:00
