Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-24,13.847,6.849,2.400,9.315,12.600,14.000,15.000,6.200,6.900,7.300,8.908,9.254,9.800,1.200,2.400,3.900,2.490,94.118,1.961,0.000,0.000,7.315,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T11:59:01+00:00
2026-07-25,13.869,5.922,0.300,9.563,12.500,13.800,15.400,5.100,5.900,6.800,8.817,9.650,10.308,0.000,0.300,1.100,0.437,11.765,0.000,0.000,0.000,7.563,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T11:59:01+00:00
2026-07-26,14.822,7.173,0.000,10.817,13.100,14.600,17.300,5.800,6.900,9.000,9.829,10.838,11.904,0.000,0.000,0.300,0.104,0.000,0.000,0.000,0.000,8.817,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T11:59:01+00:00
2026-07-27,14.131,6.716,1.700,10.141,12.000,14.100,16.400,4.800,6.600,8.800,8.829,9.992,11.642,0.300,1.700,6.000,2.308,62.745,13.725,1.961,0.000,8.141,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T11:59:01+00:00
2026-07-28,15.922,7.690,0.500,10.962,12.700,16.400,19.000,6.100,7.600,9.200,9.154,11.346,12.529,0.000,0.500,2.100,0.829,27.451,3.922,0.000,0.000,8.962,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T11:59:01+00:00
2026-07-29,11.198,3.920,0.300,7.692,10.100,11.200,12.600,2.400,3.800,5.600,6.529,7.746,8.683,0.000,0.300,3.200,0.880,21.569,0.000,0.000,0.000,5.692,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T11:59:01+00:00
2026-07-30,10.416,2.251,0.000,5.616,9.200,10.400,11.700,0.900,2.200,3.800,4.792,5.492,6.654,0.000,0.000,0.400,0.125,1.961,0.000,0.000,0.000,3.616,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-24T11:59:01+00:00
