Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-21,10.673,4.724,0.900,7.107,9.300,10.700,11.900,3.700,4.600,5.900,6.592,7.112,7.592,0.000,0.900,2.100,1.071,49.020,3.922,0.000,0.000,5.107,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T12:06:36+00:00
2026-07-22,10.375,2.616,0.000,6.090,9.500,10.400,11.200,1.500,2.600,3.900,5.392,6.025,6.908,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,4.090,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T12:06:36+00:00
2026-07-23,10.778,1.131,0.000,5.554,9.300,10.700,12.300,-0.300,0.800,3.300,4.083,5.663,7.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.554,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T12:06:36+00:00
2026-07-24,10.475,5.820,6.300,8.129,8.900,10.400,12.300,3.800,6.000,7.600,7.038,8.133,9.029,2.900,6.300,12.300,6.882,100.000,68.627,17.647,0.000,6.129,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T12:06:36+00:00
2026-07-25,13.147,5.165,0.000,8.504,11.400,13.200,14.600,3.200,5.100,7.100,7.333,8.533,9.833,0.000,0.000,0.800,0.225,7.843,0.000,0.000,0.000,6.504,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T12:06:36+00:00
2026-07-26,15.347,6.418,0.000,10.097,12.900,15.600,17.700,4.900,6.400,8.100,8.300,10.321,11.458,0.000,0.000,0.600,0.173,5.882,0.000,0.000,0.000,8.097,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T12:06:36+00:00
2026-07-27,17.675,8.171,0.000,11.841,14.500,18.200,19.700,6.600,8.000,9.500,10.554,12.075,13.121,0.000,0.000,2.400,0.725,19.608,3.922,0.000,0.000,9.841,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-21T12:06:36+00:00
