Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-16,19.592,10.522,0.900,14.076,19.300,19.600,20.000,9.900,10.500,11.100,13.729,14.108,14.408,0.000,0.900,3.400,1.410,45.098,3.922,1.961,0.000,12.076,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-16T11:57:41+00:00
2026-07-17,16.908,10.857,10.000,14.411,15.700,16.800,18.200,9.500,10.600,12.400,13.812,14.396,15.058,4.500,10.000,17.900,10.714,98.039,88.235,50.980,0.000,12.411,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-16T11:57:41+00:00
2026-07-18,13.239,6.808,1.100,9.540,11.200,13.200,15.400,5.700,6.900,7.700,8.492,9.650,10.433,0.000,1.100,6.900,2.620,52.941,15.686,3.922,0.000,7.540,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-16T11:57:41+00:00
2026-07-19,11.694,5.096,0.500,7.808,9.800,11.800,13.400,3.700,5.300,6.200,6.833,7.796,8.642,0.000,0.500,3.300,1.939,33.333,7.843,3.922,1.961,5.808,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-16T11:57:41+00:00
2026-07-20,10.586,6.235,4.900,8.356,8.900,10.400,12.400,4.500,6.400,7.700,7.071,8.138,10.188,0.100,4.900,29.400,11.486,78.431,49.020,37.255,9.804,6.356,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-16T11:57:41+00:00
2026-07-21,11.547,5.171,0.400,7.940,9.500,11.300,14.100,2.700,5.200,7.000,5.975,7.946,9.579,0.000,0.400,1.900,0.788,29.412,0.000,0.000,0.000,5.940,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-16T11:57:41+00:00
2026-07-22,11.961,5.363,0.800,8.144,9.800,12.300,13.800,2.600,5.400,7.600,6.271,8.046,9.833,0.000,0.800,4.000,1.631,49.020,7.843,1.961,0.000,6.144,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-58.250,126.000,2026-07-16T11:57:41+00:00
